algoritmo,n,tipo,dominio,muestra,tiempo_ms,memoria_kb
patienceSort,100000,ascendente,D7,c,7.76862,13580
Sort,100000,descendente,D1,a,0.601573,13580
mergeSort,100000,descendente,D1,a,1.14417,13580
quickSort,100000,descendente,D1,a,1.34534,13580
patienceSort,100000,descendente,D1,a,1.19121,13580
Sort,100000,descendente,D1,b,0.572068,13580
mergeSort,100000,descendente,D1,b,1.01754,13580
quickSort,100000,descendente,D1,b,1.35178,13580
patienceSort,100000,descendente,D1,b,1.164,13580
Sort,100000,descendente,D1,c,0.694696,13580
mergeSort,100000,descendente,D1,c,1.10387,13580
quickSort,100000,descendente,D1,c,1.9304,13580
patienceSort,100000,descendente,D1,c,1.19375,13580
Sort,100000,descendente,D7,a,0.466591,13580
mergeSort,100000,descendente,D7,a,1.09881,13580
quickSort,100000,descendente,D7,a,3.27892,13580
patienceSort,100000,descendente,D7,a,1.07773,13580
Sort,100000,descendente,D7,b,0.389417,13580
mergeSort,100000,descendente,D7,b,0.945825,13580
quickSort,100000,descendente,D7,b,3.31741,13580
patienceSort,100000,descendente,D7,b,1.11591,13580
Sort,100000,descendente,D7,c,0.737937,13580
mergeSort,100000,descendente,D7,c,1.31918,13580
quickSort,100000,descendente,D7,c,3.34702,13580
patienceSort,100000,descendente,D7,c,1.11684,13580
Sort,100000,aleatorio,D1,a,1.73585,13580
mergeSort,100000,aleatorio,D1,a,2.91197,13580
quickSort,100000,aleatorio,D1,a,2.14446,13580
patienceSort,100000,aleatorio,D1,a,2.16176,13580
Sort,100000,aleatorio,D1,b,1.39134,13580
mergeSort,100000,aleatorio,D1,b,2.84122,13580
quickSort,100000,aleatorio,D1,b,2.0983,13580
patienceSort,100000,aleatorio,D1,b,2.12426,13580
Sort,100000,aleatorio,D1,c,1.362,13580
mergeSort,100000,aleatorio,D1,c,2.64866,13580
quickSort,100000,aleatorio,D1,c,2.14881,13580
patienceSort,100000,aleatorio,D1,c,2.1458,13580
Sort,100000,aleatorio,D7,a,3.67723,13580
mergeSort,100000,aleatorio,D7,a,5.35502,13580
quickSort,100000,aleatorio,D7,a,6.26931,13580
patienceSort,100000,aleatorio,D7,a,6.59884,13580
Sort,100000,aleatorio,D7,b,3.70245,13580
mergeSort,100000,aleatorio,D7,b,5.36253,13580
quickSort,100000,aleatorio,D7,b,6.27062,13580
patienceSort,100000,aleatorio,D7,b,6.59646,13580
Sort,100000,aleatorio,D7,c,3.62371,13580
mergeSort,100000,aleatorio,D7,c,5.31332,13580
quickSort,100000,aleatorio,D7,c,6.18802,13580
patienceSort,100000,aleatorio,D7,c,6.61803,13580
Sort,10000000,ascendente,D1,a,104.706,130456
mergeSort,10000000,ascendente,D1,a,161.717,130480
quickSort,10000000,ascendente,D1,a,161.498,130480
patienceSort,10000000,ascendente,D1,a,145.233,130480
Sort,10000000,ascendente,D1,b,99.9005,130480
mergeSort,10000000,ascendente,D1,b,143.106,130480
quickSort,10000000,ascendente,D1,b,150.212,130480
patienceSort,10000000,ascendente,D1,b,148.926,130480
Sort,10000000,ascendente,D1,c,93.8346,130480
mergeSort,10000000,ascendente,D1,c,145.742,130480
quickSort,10000000,ascendente,D1,c,152.677,130480
patienceSort,10000000,ascendente,D1,c,142.595,130480
Sort,10000000,ascendente,D7,a,114.036,130480
mergeSort,10000000,ascendente,D7,a,153.948,163488
quickSort,10000000,ascendente,D7,a,421.477,163488
patienceSort,10000000,ascendente,D7,a,1349.39,551476
Sort,10000000,ascendente,D7,b,106.953,551476
mergeSort,10000000,ascendente,D7,b,154.702,551476
quickSort,10000000,ascendente,D7,b,432.121,551476
patienceSort,10000000,ascendente,D7,b,1236.89,559636
Sort,10000000,ascendente,D7,c,101.871,559636
mergeSort,10000000,ascendente,D7,c,134.72,559636
quickSort,10000000,ascendente,D7,c,405.923,559636
patienceSort,10000000,ascendente,D7,c,1096.99,566844
Sort,10000000,descendente,D1,a,80.0047,566844
mergeSort,10000000,descendente,D1,a,156.646,566844
quickSort,10000000,descendente,D1,a,132.667,566844
patienceSort,10000000,descendente,D1,a,126.323,566844
Sort,10000000,descendente,D1,b,79.2076,566844
mergeSort,10000000,descendente,D1,b,167.283,566844
quickSort,10000000,descendente,D1,b,157.825,566844
patienceSort,10000000,descendente,D1,b,125.316,566844
Sort,10000000,descendente,D1,c,85.5349,566844
mergeSort,10000000,descendente,D1,c,156.584,566844
quickSort,10000000,descendente,D1,c,159.097,566844
patienceSort,10000000,descendente,D1,c,128.176,566844
Sort,10000000,descendente,D7,a,95.6699,566844
mergeSort,10000000,descendente,D7,a,208.454,566844
quickSort,10000000,descendente,D7,a,443.848,566844
patienceSort,10000000,descendente,D7,a,141.89,566844
Sort,10000000,descendente,D7,b,82.3727,566844
mergeSort,10000000,descendente,D7,b,187.272,566844
quickSort,10000000,descendente,D7,b,416.451,566844
patienceSort,10000000,descendente,D7,b,119.616,566844
Sort,10000000,descendente,D7,c,86.459,566844
mergeSort,10000000,descendente,D7,c,229.501,566844
quickSort,10000000,descendente,D7,c,449.072,566844
patienceSort,10000000,descendente,D7,c,119.107,566844
Sort,10000000,aleatorio,D1,a,159.907,566844
mergeSort,10000000,aleatorio,D1,a,325.211,566844
quickSort,10000000,aleatorio,D1,a,216.288,566844
patienceSort,10000000,aleatorio,D1,a,215.475,566844
Sort,10000000,aleatorio,D1,b,170.948,566844
mergeSort,10000000,aleatorio,D1,b,321.456,566844
quickSort,10000000,aleatorio,D1,b,226.021,566844
patienceSort,10000000,aleatorio,D1,b,220.429,566844
Sort,10000000,aleatorio,D1,c,162.334,566844
mergeSort,10000000,aleatorio,D1,c,328.009,566844
quickSort,10000000,aleatorio,D1,c,213.418,566844
patienceSort,10000000,aleatorio,D1,c,222.505,566844
Sort,10000000,aleatorio,D7,a,513.871,566844
mergeSort,10000000,aleatorio,D7,a,833.442,566844
quickSort,10000000,aleatorio,D7,a,784.5,566844
patienceSort,10000000,aleatorio,D7,a,1073.18,566844
Sort,10000000,aleatorio,D7,b,531.388,566844
mergeSort,10000000,aleatorio,D7,b,790.218,566844
quickSort,10000000,aleatorio,D7,b,788.883,566844
patienceSort,10000000,aleatorio,D7,b,1118.68,566844
Sort,10000000,aleatorio,D7,c,513.268,566844
mergeSort,10000000,aleatorio,D7,c,941.852,566844
quickSort,10000000,aleatorio,D7,c,799.3,566844
patienceSort,10000000,aleatorio,D7,c,1085.91,566844
